created at,id,favorite count,retweet count,is retweet,source,in reply to user_id,text
Sat Mar 18 13:15:41 +0000 2017,843088518339612673,95449,21088,False,Twitter for iPhone,,"Despite what you have heard from the FAKE NEWS, I had a GREAT meeting with German Chancellor Angela Merkel. Nevertheless, Germany owes....."
Fri Mar 17 15:39:10 +0000 2017,842762240184999936,46668,8244,False,Twitter for iPhone,,Great meeting with the @RepublicanStudy Committee this morning at the @WhiteHouse! https://t.co/8Y2UoHoYaY
Fri Mar 17 14:07:26 +0000 2017,842739155230740481,51602,11473,False,Twitter for iPhone,,"""The President Changed. So Has Small Businesses' Confidence""
https://t.co/daTGjPmYeJ"
Fri Mar 17 13:07:15 +0000 2017,842724011234791424,89407,20995,False,Twitter for iPhone,,"North Korea is behaving very badly. They have been ""playing"" the United States for years. China has done little to help!"
Fri Mar 17 12:34:17 +0000 2017,842715710765830147,0,11472,True,Twitter for iPhone,,"RT @foxandfriends: FOX NEWS ALERT: Jihadis using religious visa to enter US, experts warn (via @FoxFriendsFirst) https://t.co/pwXeR9OMQC"
Fri Mar 17 12:30:25 +0000 2017,842714739365105664,0,3436,True,Twitter for iPhone,,RT @foxandfriends: VIDEO: Rep. Scalise — GOP agrees on over 85 percent of health care bill https://t.co/05dtfjAUbx
Fri Mar 17 12:26:12 +0000 2017,842713677174358016,0,6006,True,Twitter for iPhone,,"RT @AmericaFirstPol: MAJOR IMPACT: @POTUS Trump is 50 Days in and moving swiftly to get America back on the right track. #MAGA 
https://t.c…"
Fri Mar 17 12:20:22 +0000 2017,842712210896052225,0,7649,True,Twitter for iPhone,,RT @FoxNews: Jobs created in February. https://t.co/sOaMDxxTA8
Fri Mar 17 12:12:04 +0000 2017,842710123852320770,68486,12118,False,Twitter for iPhone,,Happy Lá Fheile Phadraig to all of my great Irish friends!
Fri Mar 17 09:35:58 +0000 2017,842670836905639936,0,10854,True,Twitter for iPhone,,"RT @DiamondandSilk: When the President says ""You're Fired""     That means: ""Pack Yo Stuff and Go, Not Say ""You Refuse to Go!  #DrainTheSwam…"
Thu Mar 16 22:43:32 +0000 2017,842506649122279425,64627,10595,False,Twitter for iPhone,,My representatives had a great meeting w/ the Hispanic Chamber of Commerce at the WH today. Look forward to tremendous growth &amp; future mtgs!
Thu Mar 16 21:54:02 +0000 2017,842494190990901248,70239,11256,False,Twitter for iPhone,,Great progress on healthcare. Improvements being made - Republicans coming together!
Thu Mar 16 21:43:07 +0000 2017,842491443675611138,0,7391,True,Twitter for iPhone,,RT @USHCC: USHCC was delighted to host @IvankaTrump for a roundtable discussion w/ Hispanic women biz owners today in Washington #USHCCLegi…
Thu Mar 16 20:09:38 +0000 2017,842467917639913472,53018,10786,False,Twitter for iPhone,,"An honor to welcome the Taoiseach of Ireland, @EndaKennyTD to the @WhiteHouse today with @VP Pence. 🇺🇸🇮🇪 https://t.co/J3iTl2iSiQ"
Thu Mar 16 15:52:22 +0000 2017,842403173742579714,68627,14546,False,Twitter for iPhone,,A budget that puts #AmericaFirst must make safety its no. 1 priority—without safety there can be no prosperity: https://t.co/9lxx1iQo7m
Thu Mar 16 04:20:41 +0000 2017,842229104434913280,80319,15166,False,Twitter for iPhone,,"Thank you Nashville, Tennessee! https://t.co/6snvQ0DzXN"
Thu Mar 16 00:03:23 +0000 2017,842164356297175040,86434,16683,False,Twitter for iPhone,,"In Nashville, Tennessee! Lets MAKE AMERICA GREAT AGAIN! https://t.co/m5UR4vv6UH"
Wed Mar 15 23:25:25 +0000 2017,842154802058543105,66816,13334,False,Twitter for iPhone,,Thank you Andrew Jackson! #POTUS7 #USA🇺🇸 https://t.co/GToWsWXiNv
Wed Mar 15 20:55:52 +0000 2017,842117164144431104,59957,9500,False,Twitter for iPhone,,I will be interviewed by @TuckerCarlson tonight at 9:00 P.M. on @FoxNews. Enjoy!
Wed Mar 15 12:14:20 +0000 2017,841985915778142209,80595,14336,False,Twitter for iPhone,,CEO's most optimistic since 2009. It will only get better as we continue to slash unnecessary regulations and when we begin our big tax cut!
Wed Mar 15 11:29:05 +0000 2017,841974528683192320,84918,14352,False,Twitter for iPhone,,"Looking forward to a big rally in Nashville, Tennessee, tonight. Big crowd of great people expected. Will be fun!"
